User_ID,Email,Password,User_first_name,User_last_name,Street,City,State,"Pet_owner?",Want_to_look_after_pets
10000001,bc99@gmail.com@gmail.com,894260,Eric,Kennedy,Stockton Avenue,San Jose,CA,1,1
10000002,Qcutty@gmail.com@gmail.com,202756,Luis,Oliver,E Julian Street,San Jose,CA,1,0
10000003,MoneyMaker@gmail.com,234061,Esperanz,Wagner,Booksin Avenue,San Jose,CA,1,1
10000004,Hqu@gmail.com,124241,Gabrielle,Reid,Jarvis Avenue,San Jose,CA,1,0
10000005,29fnsk@gmail.com,115440,Alani,Saunders,Kooser Road,San Jose,CA,1,1
10000006,sjnwe@gmail.com,735058,Hezekiah,Holt,Redmond Avenue,San Jose,CA,1,1
10000007,38hied@gmail.com,448623,Alexia,Craig,Morrie Drive,San Jose,CA,0,1
10000008,fwjqbe@gmail.com,414771,Janelle,Kent,Garcel Drive,San Jose,CA,1,1
10000009,298rhi@gmail.com,572819,Ayden,Miles,Rose Street,Berkeley,CA,1,0
10000010,wqieuh@gmail.com,240643,Arianna,Richardson,Virginia Street,Berkeley,CA,1,1
10000011,19eh@gmail.com,877010,Gisselle,Hardy,Sheetz Street,West Lafayette,IN,0,1
10000012,sd9fih@gmail.com,232470,Dax,Baker,E 46th Street,New York City,NY,1,1
10000013,iwuedhf@gmail.com,437910,Tiffany,Alvarez,Parker Street,Berkeley,CA,1,1
10000014,mashroom@gmail.com,509637,Margaret,Peterson,Towne Avenue,Los Angeles,CA,0,1
10000015,29iuwh@gmail.com,474509,Kimberley,Mueller,Ceres Avenue,Los Angeles,CA,1,1
10000016,ieuwq@gmail.com,811447,Chelsea,Mu0z,Leeward Avenue,Los Angeles,CA,1,1
10000017,sodi@gmail.com,449546,Kira,Sharma,Francis Avenue,Los Angeles,CA,0,1
10000018,oqwihe@gmail.com,746239,Tamara,Austin,S Coronado Street,Los Angeles,CA,1,0
10000019,wfd@gmail.com,350557,Mariam,Cross,W Hilton Avenue,Phonenix,AZ,1,0
10000020,oqwihe@gmail.com,941254,Josie,0rris,Sun Mari0 Street,Los Angeles,CA,1,0
